id,targetAccountId,creditOrDebit,amount,signedAmount,description,createdDate,containerProduct,category,merchant
10057688,10002258,Debit,749,-749,INT'L 0093472488,2016-07-29T00:00:00Z,bank,Uncategorized,
10057687,10002258,Debit,20000,-20000,WICKED CAMPERS LTD,2016-07-29T00:00:00Z,bank,Uncategorized,
10057686,10002258,Debit,5107,-5107,INT'L 0004503264,2016-08-01T00:00:00Z,bank,Uncategorized,
10057685,10002258,Debit,1000,-1000,STARBUCKS CARD REL,2016-08-01T00:00:00Z,bank,Restaurants/Dining,Starbucks
10057684,10002258,Debit,1610,-1610,BREWHOUSE & KITCHE,2016-08-01T00:00:00Z,bank,Travel,The Brew House Hotel
10057683,10002258,Debit,695,-695,NOURISH WILMSLOW,2016-08-01T00:00:00Z,bank,Uncategorized,
10057682,10002258,Debit,1447,-1447,E H BOOTH & CO,2016-08-01T00:00:00Z,bank,Groceries,E.H. Booth & Co
10057681,10002258,Debit,1048,-1048,SIR HENRY TATE,2016-08-01T00:00:00Z,bank,Uncategorized,
10057680,10002258,Debit,1600,-1600,NATIONAL LOTTERY I,2016-08-01T00:00:00Z,bank,Entertainment,
10057679,10002258,Debit,3197,-3197,WWW.DOMINOS.CO.UK,2016-08-01T00:00:00Z,bank,Restaurants/Dining,Domino's Pizza
10057678,10002258,Debit,37137,-37137,HSBC PLC LOANS,2016-08-01T00:00:00Z,bank,Loans,HSBC
10057677,10002258,Debit,14100,-14100,CHORLEY BC DD,2016-08-01T00:00:00Z,bank,Uncategorized,
10057676,10002258,Debit,4878,-4878,ZEN INTERNET LTD,2016-08-01T00:00:00Z,bank,Online Services,Zen Internet
10057675,10002258,Debit,1218,-1218,TV LICENCE MBP,2016-08-01T00:00:00Z,bank,Online Services,TV Licensing
10057674,10002258,Debit,3000,-3000,CASH BARCLAY AUG01,2016-08-01T00:00:00Z,bank,ATM/Cash Withdrawals,BARCLAY
10057673,10002258,Debit,1990,-1990,NORTHERN RAIL LTD-,2016-08-01T00:00:00Z,bank,Travel,Northern Rail Ltd
10057672,10002258,Debit,84218,-84218,MLS P02 WOOLWICH,2016-08-01T00:00:00Z,bank,Uncategorized,
10057671,10002258,Debit,250,-250,ADAM JONES,2016-08-01T00:00:00Z,bank,Uncategorized,
